Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
dan-ackroyd-acropora-coral,Dan Ackroyd Acropora Coral,Title,Default Title,,,,,C1046,,,5300  S Atlantic Ave,,0,0,0,1,1,
little-red-ferrari-acropora-coral-sps,Little Red Ferrari Acropora Coral *,Title,Default Title,,,,,T1023,,,5300  S Atlantic Ave,,0,0,0,2,2,
ora-pink-blush-acropora-coral-sps,ORA Pink Blush Acropora Coral  *,Title,Default Title,,,,,T1024,,,5300  S Atlantic Ave,,0,0,0,2,2,
richs-unknown-acropora-coral-sps,Rich's Unknown Acropora Coral *,Title,Default Title,,,,,T1025,,,5300  S Atlantic Ave,,0,0,0,2,2,
valhalla-acropora-coral-sps,Valhalla Acropora Coral *,Title,Default Title,,,,,T1026,,,5300  S Atlantic Ave,,0,0,0,2,2,
aci-fire-and-ice-zoanthid-coral-soft,ACI Fire and Ice Zoanthid Coral *,Title,Default Title,,,,,T1027,,,5300  S Atlantic Ave,,0,0,0,2,2,
daisy-cutter-zoanthid-coral-soft,Daisy Cutter Zoanthid Coral *,Title,Default Title,,,,,T1028,,,5300  S Atlantic Ave,,0,0,0,1,1,
emerald-city-zoanthid-coral-soft,Emerald City Zoanthid Coral *,Title,Default Title,,,,,T1030,,,5300  S Atlantic Ave,,0,0,0,2,2,
jf-jungle-juice-zoanthid-coral-zoas,JF Jungle Juice Zoanthid Coral  *,Title,Default Title,,,,,T1031,,,5300  S Atlantic Ave,,0,0,0,1,1,
king-midas-zoanthid-coral-zoas-soft,ECC King Midas Zoanthid Coral,Title,Default Title,,,,,C1175,,,5300  S Atlantic Ave,,0,0,0,2,2,
rainbow-infusion-zoanthid-coral-zoas-coral,Rainbow Infusion Zoanthid Coral *,Title,Default Title,,,,,T1033,,,5300  S Atlantic Ave,,0,0,0,2,2,
tft-agave-zoanthid-coral-zoas-soft,TFT Agave Zoanthid Coral  *,Title,Default Title,,,,,T1034,,,5300  S Atlantic Ave,,0,0,0,4,4,
wow-acropora-coral-sps,Wow Acropora Coral,Title,Default Title,,,,,C1050,,,5300  S Atlantic Ave,,0,0,0,3,3,
green-sunfire-monti-cfc,Green Sunfire Monti  CFC   need pic,Title,Default Title,,,,,C1051,,,5300  S Atlantic Ave,,0,0,0,3,3,
bizarro-cyphastrea-coral-sps,Bizarro Cyphastrea Coral *,Title,Default Title,,,,,T1035,,,5300  S Atlantic Ave,,0,0,0,2,2,
tft-pico-de-gallo-acropora-coral-sps,TFT Pico de Gallo Acropora Coral *,Title,Default Title,,,,,T1036,,,5300  S Atlantic Ave,,0,0,0,2,2,
prism-favia-coral-lps,Prism Favia Coral *,Title,Default Title,,,,,T1037,,,5300  S Atlantic Ave,,0,0,0,2,2,
neon-green-purple-favia-coral-lps,Neon Green Purple Favia Coral *,Title,Default Title,,,,,T1038,,,5300  S Atlantic Ave,,0,0,0,1,1,
aci-pumpkin-echinata-coral,ACI Pumpkin Echinata Coral  *,Title,Default Title,,,,,T1065,,,5300  S Atlantic Ave,,0,0,0,1,1,
sunset-stylocoeniella-coral-sps,Sunset Stylocoeniella Coral *,Title,Default Title,,,,,T1039,,,5300  S Atlantic Ave,,0,0,0,2,2,
black-widow-anemone,Black Widow Anemone  *,Title,Default Title,,,,,T1041,,,5300  S Atlantic Ave,,0,0,0,2,2,
rainbow-bubbletip-anemone,Rainbow Bubbletip Anemone *,Title,Default Title,,,,,T1042,,,5300  S Atlantic Ave,,0,0,0,3,3,
wwc-stellaria-chalice-coral-lps,WWC Stellaria Chalice Coral *,Title,Default Title,,,,,T1043,,,5300  S Atlantic Ave,,0,0,0,2,2,
sunfire-grafted-montipora-coral-sps,Sunfire Grafted Montipora Coral *,Title,Default Title,,,,,T1044,,,5300  S Atlantic Ave,,0,0,0,2,2,
wwc-grafted-montipora-coral,WWC Grafted Montipora Coral *,Title,Default Title,,,,,T1052,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-goblin-anacoropora-coral-sps,Green Goblin Anacropora Coral  *,Title,Default Title,,,,,T1045,,,5300  S Atlantic Ave,,0,0,0,2,2,
blue-green-toadstool-soft-coral,Blue Green Toadstool Coral *,Title,Default Title,,,,,T1046,,,5300  S Atlantic Ave,,0,0,0,4,4,
jf-punch-drunk-zoanthid-coral,JF Punch Drunk Zoanthid Coral *,Title,Default Title,,,,,T1048,,,5300  S Atlantic Ave,,0,0,0,1,1,
stunner-chalice-coral-lps,Stunner Chalice Coral *,Title,Default Title,,,,,T1051,,,5300  S Atlantic Ave,,0,0,0,2,2,
tft-blue-bomber-zoanthid-coral,TFT Blue Bomber Zoanthid Coral  *,Title,Default Title,,,,,T1049,,,5300  S Atlantic Ave,,0,0,0,2,2,
aci-lorax-zoanthid-coral-soft-zoas,ACI Lorax Zoanthid Coral  *,Title,Default Title,,,,,T1050,,,5300  S Atlantic Ave,,0,0,0,2,2,
reef-adhesive,Reef Adhesive,Title,Default Title,,,,,T2001,,,5300  S Atlantic Ave,,0,0,0,5,5,
hydroplex-dry-goods,Hydroplex,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,2,2,
aquastix-epoxy,Aquastix epoxy Adhesive *,Title,Default Title,,,,,T2003,,,5300  S Atlantic Ave,,0,0,0,2,2,
turbo-snail-invertebrate,Turbo Snail *,Title,Default Title,,,,,T3001,,,5300  S Atlantic Ave,,0,0,0,10,10,
birdsnest-coral,Birdsnest Coral,Title,Default Title,,,,,C1002,,,5300  S Atlantic Ave,,0,0,0,1,1,
candy-cane-trumpet-lps-coral-caulastrea,Purple Candy Cane Coral,Title,Default Title,,,,,C1042,,,5300  S Atlantic Ave,,0,0,0,3,3,
clove-polyps-soft-coral,Fireworks Clove Polyp Coral,Title,Default Title,,,,,C1019,,,5300  S Atlantic Ave,,0,0,0,0,0,
bi-color-hammer-coral-lps-euphyllia,Bi Color Hammer Coral *,Title,Default Title,,,,,T1040,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-star-polyps-soft-coral,Green Star Polyps,Title,Default Title,,,,,C1017,,,5300  S Atlantic Ave,,0,0,0,5,5,
green-hammer-lps-euphyllia-coral,Green Hammer Coral,Title,Default Title,,,,,C1009,,,5300  S Atlantic Ave,,0,0,0,2,2,
aci-eyes-of-horus-hydnophora-coral,ACI Eyes of Horus Hydnophora Coral *,Title,Default Title,,,,,T1067,,,5300  S Atlantic Ave,,0,0,0,1,1,
stylo-stylophora-coral-sps,Blue Stylophora Coral,Title,Default Title,,,,,C1010,,,5300  S Atlantic Ave,,0,0,0,5,5,
trochus-snails-invertebrates,Trochus snails,Title,Default Title,,,,,C1016,,,5300  S Atlantic Ave,,0,0,0,20,20,
green-digitata-coral-montipora-sps,Green Digitata Coral,Title,Default Title,,,,,C1003,,,5300  S Atlantic Ave,,0,0,0,4,4,
tsa-banger-acropora-coral-sps,TSA Banger Acropora Coral,Title,Default Title,,,,,C1001,,,5300  S Atlantic Ave,,0,0,0,5,5,
green-anacropora-coral-sps,Green Anacropora Coral,Title,Default Title,,,,,C1002,,,5300  S Atlantic Ave,,0,0,0,10,10,
space-invader-chalice-sps-coral,Space Invader Chalice Coral,Title,Default Title,,,,,C1018,,,5300  S Atlantic Ave,,0,0,0,5,5,
ora-grubes-gorgonian-coral,ORA Grube's Gorgonian Coral *,Title,Default Title,,,,,T1019,,,5300  S Atlantic Ave,,0,0,0,3,3,
24k-leptoseris-coral-sps,24K Leptoseris Coral *,Title,Default Title,,,,,T1020,,,5300  S Atlantic Ave,,0,0,0,2,2,
aci-gunnar-the-galaxea-coral-lps,ACI Gunnar the Galaxea Coral *,Title,Default Title,,,,,T1013,,,5300  S Atlantic Ave,,0,0,0,2,2,
blue-raven-blastomussa-coral,Blue Raven Blastomussa Coral *,Title,Default Title,,,,,T1009,,,5300  S Atlantic Ave,,0,0,0,2,2,
bob-marley-zoas-coral-soft-zoanthids,Bob Marley Zoanthid Coral *,Title,Default Title,,,,,T1018,,,5300  S Atlantic Ave,,0,0,0,2,2,
jf-burning-banana-stylocoeniella-coral-sps,JF Burning Banana Stylocoeniella Coral *,Title,Default Title,,,,,T1008,,,5300  S Atlantic Ave,,0,0,0,2,2,
tsa-frozen-apples-zoas-coral-soft,TSA Frozen Apples Zoas Coral *,Title,Default Title,,,,,T1017,,,5300  S Atlantic Ave,,0,0,0,2,2,
grafted-red-green-digitata-coral-montipora-sps,WWC Contraband Grafted Digitata Coral *,Title,Default Title,,,,,T1003,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-mother-acropora-coral-sps,Green Acropora Coral *,Title,Default Title,,,,,T1002,,,5300  S Atlantic Ave,,0,0,0,4,4,
hot-pink-cyphastrea-coral-sps,Hot Pink Cyphastrea Coral  *,Title,Default Title,,,,,T1011,,,5300  S Atlantic Ave,,0,0,0,2,2,
tsa-gamma-knife-hydnophora-coral-sps,TSA Gamma Knife Hydnophora Coral *,Title,Default Title,,,,,T1014,,,5300  S Atlantic Ave,,0,0,0,3,3,
jedi-mind-trick-montipora-coral-sps,WWC Jedi Mind Trick Montipora Coral *,Title,Default Title,,,,,T1005,,,5300  S Atlantic Ave,,0,0,0,3,3,
kenya-tree-leather-coral-soft,Kenya Tree Leather Coral,Title,Default Title,,,,,C1081,,,5300  S Atlantic Ave,,0,0,0,3,3,
tft-kracken-chalice-coral-lps,TFT Kracken Chalice Coral *,Title,Default Title,,,,,T1010,,,5300  S Atlantic Ave,,0,0,0,3,3,
aci-manila-spy-montipora-coral-sps,ACI Manila Spy Montipora Coral  *,Title,Default Title,,,,,T1004,,,5300  S Atlantic Ave,,0,0,0,3,3,
miyagi-tortousa-acropora-coral-sps,Miyagi Tortuosa Acropora Coral  *,Title,Default Title,,,,,T1001,,,5300  S Atlantic Ave,,0,0,0,3,3,
outerspace-psammocora-coral-sps,OuterSpace Psammocora Coral *,Title,Default Title,,,,,T1006,,,5300  S Atlantic Ave,,0,0,0,3,3,
pink-constellation-zoanthid-coral-soft,Pink Constellation Zoanthid Coral *,Title,Default Title,,,,,T1016,,,5300  S Atlantic Ave,,0,0,0,2,2,
piranha-plant-zoanthid-coral-zoanthids,Piranha Plant Zoanthid Coral *,Title,Default Title,,,,,T1066,,,5300  S Atlantic Ave,,0,0,0,2,2,
rainbow-psammocora-coral-sps,Rainbow Psammocora Coral *,Title,Default Title,,,,,T1007,,,5300  S Atlantic Ave,,0,0,0,2,2,
aci-crazy-eyes-chalice-coral-lps,ACI Crazy Eyes Chalice Coral *,Title,Default Title,,,,,T1012,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-eye-zoanthid-coral-zoa,Green Eye Zoanthid Coral,Title,Default Title,,,,,C1053,,,5300  S Atlantic Ave,,0,0,0,5,5,
green-bay-packers-zoanthid-coral-soft,Green Bay Packers Zoanthid Coral,Title,Default Title,,,,,C1006,,,5300  S Atlantic Ave,,0,0,0,6,6,
wwc-salted-agave-zoanthid-coral-zoas-soft,WWC Salted Agave Zoanthid Coral  *,Title,Default Title,,,,,T1021,,,5300  S Atlantic Ave,,0,0,0,2,2,
red-yellow-goniopora-coral-goni-lps,Red Yellow Goniopora Coral,Title,Default Title,,,,,C1038,,,5300  S Atlantic Ave,,0,0,0,0,0,
x-rated-goniopora-coral-goni-lps,X rated Goniopora Coral,Title,Default Title,,,,,C1022,,,5300  S Atlantic Ave,,0,0,0,2,2,
green-duncan-coral-lps,Green Duncan Coral,Title,Default Title,,,,,C1024,,,5300  S Atlantic Ave,,0,0,0,2,2,
purple-tip-hammer-coral-lps,Purple Tip Hammer Coral,Title,Default Title,,,,,C1025,,,5300  S Atlantic Ave,,0,0,0,2,2,
holy-grail-variant-torch-coral-lps,Holy Grail Variant Torch Coral,Title,Default Title,,,,,C1026,,,5300  S Atlantic Ave,,0,0,0,1,1,
24-carat-gold-torch-coral-lps,24 Carat Gold Torch Coral,Title,Default Title,,,,,C1027,,,5300  S Atlantic Ave,,0,0,0,3,3,
tsa-insanity-torch-coral,TSA Insanity Torch Coral,Title,Default Title,,,,,C1028,,,5300  S Atlantic Ave,,0,0,0,1,1,
