Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
ecc-mister-twister-zoa-coral,ECC Mister Twister Zoa Coral,Title,Default Title,,,,,C1169,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-eagle-eye-zoa-coral,ECC Eagle Eye Zoa Coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-mandarian-zoa-coral,ECC Mandarian Zoa Coral,Title,Default Title,,,,,C1171,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-bob-marley-zoa-coral,ECC Bob Marley Zoa Coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-black-bella-zoa-coral,ECC Black Bella Zoa Coral,Title,Default Title,,,,,C1175,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-fruitopia-zoa-coral,ECC Fruitopia Zoa Coral,Title,Default Title,,,,,C1176,,,5300  S Atlantic Ave,,0,0,0,1,1,
miyagi-tort-acro-coral,Miyagi Tort Acro Coral,Title,Default Title,,,,,C1161,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-rainbow-loom-acro-coral,ECC Rainbow Loom Acro Coral,Title,Default Title,,,,,C1159,,,5300  S Atlantic Ave,,0,0,0,1,1,
arc-proximo-acro-coral,ARC Proximo Acro Coral,Title,Default Title,,,,,"",,,5300  S Atlantic Ave,,0,0,0,1,1,
wwc-aoi-zoanthid-coral-zoas-soft,WWC AOI Zoanthid Coral,Title,Default Title,,,,,C1090,,,5300  S Atlantic Ave,,0,0,0,1,1,
branching-duncan-coral-lps,Branching Duncan Coral,Title,Default Title,,,,,C1091,,,5300  S Atlantic Ave,,0,0,0,0,0,
indo-hammer-coral-lps-euphyllia-coral,Indo Hammer Coral,Title,Default Title,,,,,C1092,,,5300  S Atlantic Ave,,0,0,0,1,1,
green-galaxea-coral-lps,Green Galaxea Coral,Title,Default Title,,,,,C1093,,,5300  S Atlantic Ave,,0,0,0,3,3,
pipe-organ-coral-soft,Pipe Organ Coral,Title,Default Title,,,,,C1094,,,5300  S Atlantic Ave,,0,0,0,4,4,
pink-birdsnest-coral-anacropora-sps,Pink Birdsnest Coral,Title,Default Title,,,,,C1095,,,5300  S Atlantic Ave,,0,0,0,0,0,
black-candelabra-gorgonian-coral-soft,Black Candelabra Gorgonian Coral,Title,Default Title,,,,,C1096,,,5300  S Atlantic Ave,,0,0,0,2,2,
indo-green-cabbage-coral,Indo Green Cabbage Coral,Title,Default Title,,,,,C1097,,,5300  S Atlantic Ave,,0,0,0,3,3,
banana-clove-polyp-coral-soft,Banana Clove Polyp Coral *,Title,Default Title,,,,,T1069,,,5300  S Atlantic Ave,,0,0,0,3,3,
green-stylophora-coral-sps,Green Stylophora Coral,Title,Default Title,,,,,C1010,,,5300  S Atlantic Ave,,0,0,0,4,4,
yellow-green-frogspawn-coral,Yellow Green Frogspawn Coral,Title,Default Title,,,,,C1013,,,5300  S Atlantic Ave,,0,0,0,2,2,
cfc-red-chalice-coral-sps,CFC Red Chalice Coral,Title,Default Title,,,,,C1099,,,5300  S Atlantic Ave,,0,0,0,4,4,
tsa-the-fuzz-acropora-coral-sps,TSA The Fuzz Acropora Coral,Title,Default Title,,,,,C1100,,,5300  S Atlantic Ave,,0,0,0,4,4,
neon-orange-psammocora-coral-sps,Neon Orange Psammocora Coral,Title,Default Title,,,,,C1101,,,5300  S Atlantic Ave,,0,0,0,5,5,
cfc-acropora-coral-sps,CFC Acropora Coral,Title,Default Title,,,,,C1102,,,5300  S Atlantic Ave,,0,0,0,3,3,
multi-color-wilsoni-coral,Multi Color Wilsoni Coral,Title,Default Title,,,,,C1104,,,5300  S Atlantic Ave,,0,0,0,1,1,
indo-purple-goniopora-coral-lps,Indo Purple Goniopora Coral,Title,Default Title,,,,,C1104,,,5300  S Atlantic Ave,,0,0,0,5,5,
aussie-neon-green-trachy-coral-lps,Aussie Neon Green Trachy Coral,Title,Default Title,,,,,C1105,,,5300  S Atlantic Ave,,0,0,0,1,1,
aussie-ultra-scolymia-coral-euphyilla,Aussie Ultra Scolymia Coral,Title,Default Title,,,,,C1106,,,5300  S Atlantic Ave,,0,0,0,1,1,
aussie-red-blue-acan-lord-colony-coral,Aussie Red Blue Acan Colony Coral,Title,Default Title,,,,,C1108,,,5300  S Atlantic Ave,,0,0,0,1,1,
aussie-chalice-coral-sps,Aussie Chalice Coral,Title,Default Title,,,,,C1108,,,5300  S Atlantic Ave,,0,0,0,1,1,
green-fiji-acropora-coral-sps,Green Fiji Acropora Coral,Title,Default Title,,,,,C1109,,,5300  S Atlantic Ave,,0,0,0,2,2,
fluted-moon-coral-lps-favia,Fluted Moon Coral,Title,Default Title,,,,,C1110,,,5300  S Atlantic Ave,,0,0,0,2,2,
blasto-merletti-coral-lps,Blasto Merletti Coral,Title,Default Title,,,,,C1111,,,5300  S Atlantic Ave,,0,0,0,1,1,
neon-green-helmet-fungia-coral-lps,Neon Green Helmet Fungia Coral,Title,Default Title,,,,,C1112,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-ppe-blastomussa-merletti-coral-lps,ECC PPE Blastomussa Merletti Coral,Title,Default Title,,,,,C1113,,,5300  S Atlantic Ave,,0,0,0,1,1,
